Oscilloscope data. 
Time step = 10,00 nS
Voltage step = 1,563 mV
Zero level = 94

N 	Smpl.	Trig

0	119	0
1	141	0
2	164	0
3	182	0
4	194	0
5	198	0
6	193	0
7	176	0
8	152	0
9	130	0
10	117	0
11	113	0
12	114	0
13	114	0
14	114	0
15	115	0
16	116	0
17	117	0
18	117	0
19	117	0
20	118	0
21	118	0
22	115	0
23	115	0
24	115	0
25	114	0
26	115	0
27	115	0
28	115	0
29	114	0
30	115	0
31	115	0
32	115	0
33	115	0
34	115	0
35	115	0
36	115	0
37	115	0
38	114	0
39	115	0
40	114	0
41	115	0
42	114	0
43	115	0
44	115	0
45	115	0
46	115	0
47	115	0
48	115	0
49	115	0
50	115	0
51	114	0
52	115	0
53	116	0
54	115	0
55	115	0
56	115	0
57	114	0
58	115	0
59	115	0
60	114	0
61	115	0
62	115	0
63	115	0
64	114	0
65	115	0
66	115	0
67	115	0
68	115	0
69	115	0
70	115	0
71	115	0
72	115	0
73	114	0
74	115	0
75	114	0
76	115	0
77	115	0
78	115	0
79	115	0
80	114	0
81	115	0
82	115	0
83	115	0
84	115	0
85	115	0
86	115	0
87	115	0
88	115	0
89	114	0
90	115	0
91	115	0
92	115	0
93	115	0
94	115	0
95	115	0
96	115	0
97	115	0
98	115	0
99	115	0
100	115	0
101	115	0
102	115	0
103	114	0
104	114	0
105	115	0
106	115	0
107	114	0
108	115	0
109	114	0
110	115	0
111	115	0
112	115	0
113	115	0
114	115	0
115	115	0
116	115	0
117	115	0
118	116	0
119	115	0
120	114	0
121	115	0
122	115	0
123	115	0
124	115	0
125	115	0
126	115	0
127	115	0
128	115	0
129	115	0
130	115	0
131	115	0
132	115	0
133	115	0
134	115	0
135	114	0
136	114	0
137	115	0
138	115	0
139	115	0
140	115	0
141	115	0
142	115	0
143	115	0
144	114	0
145	115	0
146	115	0
147	114	0
148	115	0
149	115	0
150	115	0
151	115	0
152	115	0
153	114	0
154	115	0
155	114	0
156	115	0
157	115	0
158	115	0
159	115	0
160	115	0
161	115	0
162	115	0
163	115	0
164	115	0
165	115	0
166	114	0
167	115	0
168	115	0
169	114	0
170	115	0
171	115	0
172	115	0
173	115	0
174	114	0
175	115	0
176	115	0
177	114	0
178	115	0
179	115	0
180	115	0
181	115	0
182	115	0
183	114	0
184	114	0
185	115	0
186	114	0
187	115	0
188	115	0
189	115	0
190	114	0
191	115	0
192	115	0
193	115	0
194	114	0
195	115	0
196	114	0
197	114	0
198	115	0
199	114	0
200	115	0
201	115	0
202	115	0
203	115	0
204	115	0
205	115	0
206	115	0
207	115	0
208	115	0
209	115	0
210	115	0
211	115	0
212	114	0
213	115	0
214	115	0
215	114	0
216	115	0
217	115	0
218	115	0
219	115	0
220	115	0
221	115	0
222	115	0
223	114	0
224	115	0
225	115	0
226	115	0
227	114	0
228	114	0
229	114	0
230	115	0
231	115	0
232	115	0
233	115	0
234	114	0
235	115	0
236	115	0
237	116	0
238	115	0
239	115	0
240	115	0
241	114	0
242	115	0
243	115	0
244	115	0
245	115	0
246	115	0
247	115	0
248	115	0
249	114	0
250	115	0
251	115	0
252	115	0
253	115	0
254	115	0
255	115	0
256	115	0
257	114	0
258	115	0
259	115	0
260	115	0
261	115	0
262	114	0
263	115	0
264	115	0
265	115	0
266	115	0
267	115	0
268	115	0
269	115	0
270	115	0
271	115	0
272	114	0
273	114	0
274	114	0
275	115	0
276	115	0
277	115	0
278	115	0
279	115	0
280	115	0
281	115	0
282	115	0
283	116	0
284	115	0
285	114	0
286	115	0
287	115	0
288	115	0
289	115	0
290	115	0
291	115	0
292	115	0
293	115	0
294	114	0
295	114	0
296	115	0
297	115	0
298	115	0
299	115	0
300	115	0
301	115	0
302	115	0
303	115	0
304	114	0
305	115	0
306	114	0
307	115	0
308	115	0
309	115	0
310	115	0
311	114	0
312	115	0
313	115	0
314	115	0
315	115	0
316	115	0
317	114	0
318	115	0
319	114	0
320	115	0
321	115	0
322	115	0
323	114	0
324	115	0
325	115	0
326	115	0
327	115	0
328	115	0
329	115	0
330	115	0
331	114	0
332	115	0
333	115	0
334	115	0
335	115	0
336	115	0
337	115	0
338	115	0
339	115	0
340	115	0
341	115	0
342	115	0
343	114	0
344	115	0
345	115	0
346	115	0
347	115	0
348	115	0
349	115	0
350	115	0
351	115	0
352	115	0
353	115	0
354	115	0
355	114	0
356	114	0
357	115	0
358	115	0
359	114	0
360	115	0
361	115	0
362	115	0
363	114	0
364	115	0
365	115	0
366	115	0
367	115	0
368	115	0
369	115	0
370	115	0
371	115	0
372	115	0
373	115	0
374	115	0
375	115	0
376	115	0
377	115	0
378	114	0
379	114	0
380	114	0
381	115	0
382	114	0
383	115	0
384	115	0
