Oscilloscope data. 
Time step = 10,00 nS
Voltage step = 3,125 mV
Zero level = 80

N 	Smpl.	Trig

0	96	0
1	113	0
2	130	0
3	144	0
4	155	0
5	164	0
6	163	0
7	153	0
8	138	0
9	126	0
10	116	0
11	108	0
12	102	0
13	98	0
14	94	0
15	93	0
16	92	0
17	92	0
18	93	0
19	94	0
20	97	0
21	97	0
22	98	0
23	99	0
24	98	0
25	98	0
26	96	0
27	94	0
28	92	0
29	90	0
30	88	0
31	86	0
32	87	0
33	86	0
34	89	0
35	89	0
36	92	0
37	94	0
38	96	0
39	98	0
40	98	0
41	98	0
42	97	0
43	97	0
44	94	0
45	91	0
46	89	0
47	88	0
48	86	0
49	87	0
50	88	0
51	89	0
52	91	0
53	93	0
54	94	0
55	96	0
56	97	0
57	97	0
58	97	0
59	94	0
60	94	0
61	91	0
62	89	0
63	86	0
64	87	0
65	86	0
66	87	0
67	89	0
68	91	0
69	93	0
70	95	0
71	96	0
72	97	0
73	97	0
74	94	0
75	93	0
76	92	0
77	89	0
78	86	0
79	86	0
80	86	0
81	86	0
82	89	0
83	91	0
84	93	0
85	94	0
86	96	0
87	97	0
88	96	0
89	96	0
90	94	0
91	93	0
92	90	0
93	89	0
94	86	0
95	86	0
96	86	0
97	87	0
98	89	0
99	92	0
100	93	0
101	94	0
102	97	0
103	97	0
104	96	0
105	94	0
106	92	0
107	91	0
108	88	0
109	86	0
110	87	0
111	86	0
112	88	0
113	89	0
114	92	0
115	93	0
116	95	0
117	96	0
118	97	0
119	97	0
120	94	0
121	93	0
122	92	0
123	89	0
124	86	0
125	86	0
126	86	0
127	87	0
128	89	0
129	91	0
130	93	0
131	94	0
132	96	0
133	97	0
134	96	0
135	94	0
136	93	0
137	91	0
138	89	0
139	86	0
140	86	0
141	86	0
142	87	0
143	89	0
144	91	0
145	92	0
146	94	0
147	96	0
148	97	0
149	97	0
150	97	0
151	94	0
152	92	0
153	90	0
154	88	0
155	86	0
156	86	0
157	86	0
158	89	0
159	89	0
160	92	0
161	93	0
162	94	0
163	97	0
164	97	0
165	97	0
166	94	0
167	93	0
168	92	0
169	88	0
